Test Case ID,Title,Preconditions,Steps,Test Data,Expected Result,Priority
TC_REG_001,Register with all valid unique details,App is up; email not already registered,"1. Navigate to Registration page 2. Enter Name 3. Enter Email 4. Enter Password 5. Enter Confirm Password 6. Click Register","Name: Ananya Rao; Email: ananya.rao@example.com; Password: Passw0rd1234",201 Created; success message shown; user can now log in,High
TC_REG_002,Registered email is stored in lowercase regardless of input case,Email not registered,"1. Register with mixed-case email and valid Name/Password 2. Submit 3. Check stored email","Email: MixedCase@Example.COM",201 Created; email persisted as mixedcase@example.com,High
TC_REG_003,Registration fails when Name field is empty,On Registration page,"1. Leave Name blank 2. Fill Email Password Confirm Password validly 3. Submit","Name: (empty)",400 Bad Request; Name is required error,High
TC_REG_004,Registration fails when Email format is invalid,On Registration page,"1. Enter invalid email format 2. Fill other fields validly 3. Submit","Email: ananya@@example",400 Bad Request; Invalid email format error,High
TC_REG_005,Registration fails when Password lacks numbers,On Registration page,"1. Enter Password with letters only 12+ chars 2. Submit","Password: PasswordOnly",400 Bad Request; Password must contain letters and numbers,High
TC_REG_006,Registration fails when Password lacks letters,On Registration page,"1. Enter Password with numbers only 2. Submit","Password: 123456789012",400 Bad Request; Password must contain letters and numbers,High
TC_REG_007,Registration fails when Confirm Password does not match Password,On Registration page,"1. Enter Password 2. Enter different Confirm Password 3. Submit","Password: Passw0rd1234; Confirm: Passw0rd9999",400 Bad Request; Passwords do not match,High
TC_REG_008,Frontend validation blocks submit before hitting API for empty required fields,On Registration page JS enabled,"1. Leave all fields blank 2. Click Register","N/A",Inline UI errors shown; no network call fired,Medium
TC_REG_009,Backend rejects invalid payload even if frontend validation is bypassed,Direct API access,"1. Send POST /register with empty Name and invalid email directly to API bypassing UI","Raw JSON with invalid fields",400 Bad Request confirms backend does not trust client-only validation,High
TC_REG_010,Registration fails for already-registered email,Email already registered,"1. Attempt registration with same email and valid new Name/Password 2. Submit","Email: existing.user@example.com",409 Conflict; Email already registered,High
TC_REG_011,Duplicate check is case-insensitive,user@example.com already registered,"1. Attempt registration with uppercase version of same email","Email: USER@EXAMPLE.COM",409 Conflict treated as duplicate,High
TC_REG_012,11th registration attempt from same IP within an hour is throttled,10 attempts already made from same IP within the hour,"1. Perform an 11th registration attempt from same IP within the hour window","Any valid/invalid payload",429 Too Many Requests,Medium
TC_REG_013,Rate limit resets after the 1-hour window elapses,IP was throttled after 10 attempts,"1. Wait until 1-hour window has passed 2. Retry registration","Valid payload",Request processed normally not 429,Low
TC_LOGIN_001,Successful login with valid credentials returns JWT and redirects to Dashboard,User is registered and active,"1. Navigate to Login 2. Enter valid Email + Password 3. Click Login","Email: ananya.rao@example.com; Password: Passw0rd1234",200 OK; JWT returned; redirected to Dashboard,High
TC_LOGIN_002,Login fails with incorrect password,User is registered,"1. Enter correct Email wrong Password 2. Click Login","Email: ananya.rao@example.com; Password: WrongPass1",401 Unauthorized; generic error message,High
TC_LOGIN_003,Login fails for non-existent email,Email not registered,"1. Enter unregistered Email + any Password 2. Click Login","Email: nouser@example.com",401 Unauthorized; same generic message prevents user enumeration,High
TC_LOGIN_004,Login is case-insensitive on email,User registered with lowercase email,"1. Login using mixed-case version of registered email with correct password","Email: Ananya.Rao@Example.com",200 OK; login succeeds,Medium
TC_LOGIN_005,Login fails when password field is empty,On Login page,"1. Enter valid Email leave Password blank 2. Click Login","Password: (empty)",400 Bad Request or UI-blocked; Password is required,Medium
TC_JWT_001,Dashboard is accessible with a valid JWT,User logged in valid JWT stored,"1. Navigate to /dashboard with valid token attached","Valid JWT",200 OK; Dashboard displays logged-in user's email and route name,High
TC_JWT_002,Accessing Dashboard without a JWT redirects to Login,User not logged in no token in storage,"1. Directly navigate to /dashboard URL without logging in","No token",User redirected to Login page; no protected data exposed,High
TC_JWT_003,Accessing Dashboard with an expired JWT redirects to Login,User has an expired token,"1. Set an expired JWT in storage 2. Navigate to /dashboard","Expired JWT",401 Unauthorized from API; frontend redirects to Login,High
TC_JWT_004,Accessing Dashboard with a tampered/invalid JWT is rejected,Valid JWT available,"1. Modify one character in JWT payload/signature 2. Attach to request to protected page/API","Tampered JWT string",401 Unauthorized; access denied,High
TC_JWT_005,Logout invalidates client-side session and blocks further Dashboard access,User logged in,"1. Click Logout 2. Attempt to navigate back to /dashboard via browser back button","N/A",Token cleared from storage; redirected to Login; dashboard not accessible,High
TC_JWT_006,JWT from one user cannot access another user's data,Two registered users User A logged in,"1. Use User A's JWT 2. Attempt to request User B's protected resource","User A's JWT; User B's resource ID",403 Forbidden authorization enforced beyond authentication,High
TC_SEC_001,SQL Injection attempt in Login Email field is safely rejected,On Login page,"1. Enter Email with SQL injection payload 2. Enter any Password 3. Submit","Email: ' OR '1'='1",401/400; no authentication bypass; no server error leaked,High
TC_SEC_002,Script injection (XSS) in Name field is neutralized,On Registration page,"1. Enter Name with script tag payload 2. Submit and view Name later on Dashboard","Name: <script>alert(1)</script>",Input rejected or safely escaped; script does not execute,High
TC_SEC_003,Registration/Login response does not leak sensitive internal details,Trigger a validation or server error,"1. Send a malformed request e.g. invalid JSON body to /register or /login","Malformed payload",Generic error response; no stack trace or internal details disclosed,Medium
TC_CONC_001,Two users submitting registration with the same email simultaneously - only one succeeds,Email not yet registered,"1. Fire two near-simultaneous POST /register requests with the same email via two parallel scripts/tabs","Email: race@example.com identical in both requests",Exactly one request succeeds 201 Created; other receives 409 Conflict,High
