Test Case ID,Title,Category,Input Length,Test Data,Expected Result,Priority
TC_BND_NAME_01,Name below minimum boundary (4 chars) fails,Name Length,4,Anu1,400 Bad Request - Name must be 5-24 characters,High
TC_BND_NAME_02,Name at minimum boundary (5 chars) passes,Name Length,5,Anujj,201 Created,High
TC_BND_NAME_03,Name at maximum boundary (24 chars) passes,Name Length,24,AnujKumarSrivastavaRaoo,201 Created,High
TC_BND_NAME_04,Name above maximum boundary (25 chars) fails,Name Length,25,AnujKumarSrivastavaRaooX,400 Bad Request - Name must be 5-24 characters,High
TC_BND_PWD_01,Password below minimum boundary (11 chars) fails,Password Length,11,Passw0rd12,400 Bad Request - Password must be at least 12 characters,High
TC_BND_PWD_02,Password at minimum boundary (12 chars) passes,Password Length,12,Passw0rd1234,201 Created,High
TC_BND_PWD_03,Password just above boundary (13 chars) passes,Password Length,13,Passw0rd12345,201 Created,Medium
TC_BND_PWD_04,Very long password (128 chars) is accepted or handled gracefully,Password Length,128,Repeated valid pattern to 128 chars,201 Created or documented max-length rejection; no crash/500 error,Medium
TC_BND_EMAIL_01,Uppercase email is accepted and normalized to lowercase,Email Edge Case,N/A,USER.NAME@EXAMPLE.COM,201 Created; stored/compared as user.name@example.com,High
TC_BND_EMAIL_02,Email with leading/trailing spaces is trimmed before validation,Email Edge Case,N/A,"  user@example.com  ",201 Created after trimming (or 400 if strict policy - confirm with dev),High
TC_BND_EMAIL_03,Email with spaces in the middle is rejected,Email Edge Case,N/A,us er@example.com,400 Bad Request - invalid format,High
TC_BND_EMAIL_04,Very long email (250+ characters) is handled without server error,Email Edge Case,250+,Local-part + domain totaling 250+ chars,400 Bad Request if exceeding limit or 201 Created if within limit; no 500 error,Medium
TC_BND_EMAIL_05,Email missing @ symbol is rejected,Email Edge Case,N/A,userexample.com,400 Bad Request - invalid format,High
TC_BND_EMAIL_06,Email missing domain extension is rejected,Email Edge Case,N/A,user@example,400 Bad Request - invalid format,Medium
TC_BND_EMAIL_07,Email with valid plus-addressing is accepted,Email Edge Case,N/A,user+test@example.com,201 Created (valid per RFC 5321),Low
TC_BND_RATE_01,10th attempt within the hour is still allowed,Rate Limit,10,10th registration attempt same IP,Request processed normally not 429,High
TC_BND_RATE_02,11th attempt within the same hour is blocked,Rate Limit,11,11th registration attempt same IP,429 Too Many Requests,High
TC_BND_RATE_03,Attempt exactly at the 1-hour boundary reset,Rate Limit,1 (new window),1st attempt after window reset,Request processed normally once window has reset,Medium
